England,www.globalmart.com/product-id-42,2023-05-20,6,3.6666666666666665,6
Spain,www.globalmart.com/product-id-31,2023-05-20,4,12.5,4
Italy,www.globalmart.com/product-id-23,2023-05-20,5,5.2,4
Spain,www.globalmart.com/product-id-21,2023-05-20,3,10.666666666666666,3
Spain,www.globalmart.com/logout,2023-05-20,38,3.5526315789473686,35
USA,www.globalmart.com/product-id-45,2023-05-20,3,4.333333333333333,3
USA,www.globalmart.com/product-id-20,2023-05-20,7,4.714285714285714,6
Italy,www.globalmart.com/product-id-35,2023-05-20,2,14.5,2
USA,www.globalmart.com/product-id-43,2023-05-20,4,5.25,3
Spain,www.globalmart.com/product-id-47,2023-05-20,4,16.25,4
England,www.globalmart.com/product-id-4,2023-05-20,2,21.5,2
Italy,www.globalmart.com/product-id-20,2023-05-20,2,4.0,2
Italy,www.globalmart.com/product-id-16,2023-05-20,2,22.0,2
England,www.globalmart.com/product-id-17,2023-05-20,3,5.0,3
India,www.globalmart.com/product-id-34,2023-05-20,4,8.75,4
England,www.globalmart.com/product-id-46,2023-05-20,2,3.0,2
England,www.globalmart.com/product-id-2,2023-05-20,1,5.0,1
England,www.globalmart.com/product-id-13,2023-05-20,1,7.0,1
Italy,www.globalmart.com/product-id-27,2023-05-20,2,4.0,2
Spain,www.globalmart.com/product-id-9,2023-05-20,4,5.25,4
Spain,www.globalmart.com/product-id-22,2023-05-20,5,13.8,5
Spain,www.globalmart.com/product-id-11,2023-05-20,4,5.75,4
Spain,www.globalmart.com/product-id-4,2023-05-20,2,13.5,2
Italy,www.globalmart.com/product-id-47,2023-05-20,6,8.5,6
USA,www.globalmart.com/product-id-44,2023-05-20,1,5.0,1
India,www.globalmart.com/product-id-23,2023-05-20,4,3.0,4
Italy,www.globalmart.com/product-id-14,2023-05-20,4,13.0,4
India,www.globalmart.com/product-id-14,2023-05-20,3,15.0,3
England,www.globalmart.com/product-id-9,2023-05-20,4,5.5,4
Italy,www.globalmart.com/product-id-10,2023-05-20,3,11.666666666666666,3
Spain,www.globalmart.com/product-id-12,2023-05-20,4,5.25,4
USA,www.globalmart.com/product-id-16,2023-05-20,3,8.333333333333334,3
India,www.globalmart.com/product-id-3,2023-05-20,5,14.6,5
